active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,4.7,1,entire_home,2024-04-01,1876.0,12,18,2439.0,0.4,976.0
true,4.7,1,entire_home,2023-02-01,578.0,5,23,751.0,0.18,134.0
true,4.9,1,entire_home,2025-02-01,694.0,4,24,902.0,0.14,129.0
true,4.9,1,entire_home,2026-02-01,5049.0,27,1,6564.0,0.96,6329.0
true,4.8,1,entire_home,2025-02-01,5893.0,27,1,7661.0,0.96,7387.0
true,4.8,1,entire_home,2025-09-01,2605.0,10,20,3387.0,0.33,1129.0
true,4.8,1,entire_home,2026-02-01,1081.0,6,22,1405.0,0.21,301.0
true,5.0,1,entire_home,2025-02-01,899.0,10,18,1169.0,0.36,417.0
true,4.8,1,private_room,2021-06-01,670.0,12,18,871.0,0.4,348.0
true,4.8,1,private_room,2022-02-01,1459.0,27,1,1897.0,0.96,1829.0
true,4.8,1,private_room,2024-02-01,1337.0,21,8,1738.0,0.72,1259.0
true,4.9,1,private_room,2023-02-01,1913.0,22,6,2487.0,0.79,1954.0
true,4.9,1,private_room,2023-11-01,1269.0,12,18,1650.0,0.4,660.0
true,4.9,1,private_room,2025-04-01,1403.0,12,18,1824.0,0.4,730.0
true,3.0,1,entire_home,2022-02-01,2140.0,3,25,2782.0,0.11,298.0
true,4.8,1,entire_home,2024-02-01,4622.0,22,7,6009.0,0.76,4558.0
true,4.5,1,entire_home,2023-02-01,867.0,6,22,1127.0,0.21,242.0
true,5.0,1,private_room,2024-02-01,787.0,8,21,1023.0,0.28,282.0
true,5.0,1,private_room,2025-02-01,91.0,1,27,118.0,0.04,4.0
true,4.7,1,entire_home,2025-02-01,1354.0,7,21,1760.0,0.25,440.0
true,5.0,1,entire_home,2025-02-01,625.0,6,22,813.0,0.21,174.0
true,5.0,1,entire_home,2025-02-01,1566.0,5,23,2036.0,0.18,364.0
true,5.0,1,entire_home,2025-02-01,4966.0,23,5,6456.0,0.82,5303.0
